id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
31813422,WA7,https://www.petfinder.com/cat/wilbur-31813422/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Adult,Male,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': False, 'dogs': None, 'cats': None}",[],Wilbur,Wilbur is a sweet boy who was absolutely terrified and pretty banged up when he arrived at the shelter. With...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813422/1/?bust=1427812351'}",[],adopted,2015-05-16T15:59:07+0000,2015-03-31T14:32:31+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31813422'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31813332,WA7,https://www.petfinder.com/cat/song-31813332/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Calico', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Song,This gorgeous girl is Song and she is looking for her loving forever home. Song and her sister River came...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813332/1/?bust=1431368760'}",[],adopted,2015-07-19T10:59:24+0000,2015-03-31T14:27:54+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31813332'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31813313,WA7,https://www.petfinder.com/cat/river-31813313/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Calico', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],River,This beautiful girl is River and she is looking for her loving forever home. River and her sister Song came...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813313/1/?bust=1427811907'}",[],adopted,2015-04-04T11:30:48+0000,2015-03-31T14:25:07+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31813313'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31813290,WA7,https://www.petfinder.com/cat/mortimer-31813290/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Gray / Blue / Silver', 'secondary': 'White', 'tertiary': None}",Adult,Male,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Mortimer,This dapper fellow is Mortimer and he is looking for his loving forever home. Mortimer came to us with a...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813290/1/?bust=1427811599'}",[],adopted,2015-04-08T19:04:56+0000,2015-03-31T14:19:59+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31813290'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31813226,WA7,https://www.petfinder.com/cat/momoko-31813226/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Gray / Blue / Silver', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': False, 'cats': None}",[],Momoko,This charming girl is Momoko and she is looking for her loving forever home. Momoko came to us with a...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813226/1/?bust=1427811343'}",[],adopted,2015-04-18T18:04:57+0000,2015-03-31T14:15:43+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31813226'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31813159,WA7,https://www.petfinder.com/cat/marlowe-31813159/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Tabby (Brown / Chocolate)', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': False, 'cats': None}",[],Marlowe,This shy sweetheart is Marlowe and she is looking for her loving forever home. She came to us with a...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813159/1/?bust=1427811170'}",[],adopted,2015-04-12T19:07:40+0000,2015-03-31T14:12:50+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31813159'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31813112,WA7,https://www.petfinder.com/cat/marge-31813112/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Marge,"Marge is a wonderfully affectionate, loquacious girl looking for a loving forever home. Marge is incredibly chatty and will happily...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31813112/1/?bust=1427811011'}",[],adopted,2015-05-07T13:16:55+0000,2015-03-31T14:10:10+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31813112'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31812982,WA7,https://www.petfinder.com/cat/levi-31812982/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Young,Male,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Levi,This handsome young fellow is Levi and he is looking for his loving forever home. Levi is an outgoing explorer...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812982/1/?bust=1427810623'}",[],adopted,2015-04-04T20:30:27+0000,2015-03-31T14:03:43+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31812982'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31812944,WA7,https://www.petfinder.com/cat/leslie-31812944/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Tabby (Brown / Chocolate)', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Leslie,"Leslie is a sweet, affectionate girl looking for a loving forever home. Leslie is curious and playful, she would love...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/2/?bust=1427810208&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/2/?bust=1427810208&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/2/?bust=1427810208&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/2/?bust=1427810208'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812944/1/?bust=1427810207'}",[],adopted,2015-04-08T19:05:01+0000,2015-03-31T13:56:47+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31812944'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
31812925,WA7,https://www.petfinder.com/cat/hector-31812925/wa/bellingham/whatcom-humane-society-wa7/?referrer_id=9af86a2f-a205-4687-8203-bf7f8bda3681,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Tabby (Buff / Tan / Fawn)', 'secondary': None, 'tertiary': None}",Adult,Male,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Hector,This rakish looking fellow is Hector and he is looking for his loving forever home. Hector came to us with...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/31812925/1/?bust=1427810002'}",[],adopted,2015-04-04T11:30:55+0000,2015-03-31T13:53:22+0000,7.9831,"{'email': 'adoptions@whatcomhumane.org', 'phone': '(360) 733-2080 ext. 0', 'address': {'address1': '2172 Division Street', 'address2': None, 'city': 'Bellingham', 'state': 'WA', 'postcode': '98226', 'country': 'US'}}","{'self': {'href': '/v2/animals/31812925'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa7'}}"
