index,Total population,Total population Male,Total population Female,Total population Median age (years),Total population 18 and over,Total population 18 and over Male,Total population 18 and over Female
Aberdeen,16429,7924,8505,35.4,11126,5300,5826
Aberdeen Gardens,261,132,129,57.6,223,117,106
Addy,139,68,71,44.4,95,38,57
Ahtanum,3359,1634,1725,38.2,2223,1050,1173
Airway Heights,6449,4539,1910,35.7,5260,3998,1262
Albion,585,294,291,32.1,473,212,261
Alder,64,23,41,30.5,39,18,21
Alderton,3314,1785,1529,38.2,2356,1231,1125
Alderwood Manor,9337,4714,4623,36.2,6481,3258,3223
Alger,141,56,85,58.2,116,56,60
Algona,3107,1549,1558,33.5,1827,891,936
Allyn,2144,1094,1050,49.0,1774,851,923
Almira,263,119,144,44.8,195,90,105
Altoona,66,30,36,65.0,66,30,36
Amanda Park,154,88,66,34.1,101,54,47
Amboy,1878,947,931,30.8,1114,505,609
Ames Lake,1358,747,611,41.8,975,510,465
Anacortes,16048,7725,8323,48.0,12619,6137,6482
Anderson Island,1053,567,486,64.2,1009,549,460
Arlington,18578,8800,9778,34.8,13178,6448,6730
Arlington Heights,2725,1339,1386,41.1,2065,994,1071
Artondale,13376,6775,6601,43.8,9905,5056,4849
Ashford,296,209,87,56.1,296,209,87
Asotin,1360,679,681,40.4,1004,495,509
Auburn,74527,36066,38461,35.3,48583,23328,25255
Bainbridge Island,23343,11087,12256,48.2,17166,8092,9074
Bangor Base,6392,4385,2007,22.5,4583,3389,1194
Banks Lake South,200,88,112,32.0,131,62,69
Barberton,6201,3026,3175,40.3,4404,2061,2343
Baring,164,94,70,51.9,148,78,70
Barney's Junction,179,68,111,61.3,159,68,91
Barstow,69,35,34,58.8,55,26,29
Basin City,1373,551,822,22.0,270,128,142
Battle Ground,18576,9107,9469,33.0,11926,5596,6330
Bay Center,202,99,103,59.5,189,99,90
Bay View,826,377,449,48.9,627,325,302
Beaux Arts Village,333,185,148,43.8,212,107,105
Belfair,3298,1541,1757,35.7,2265,989,1276
Bell Hill,954,515,439,65.5,905,466,439
Bellevue,134630,68253,66377,38.1,81322,40271,41051
Bellingham,82944,40861,42083,31.2,65803,32034,33769
Benton City,3156,1511,1645,37.1,2051,944,1107
Bethel,3906,2077,1829,40.7,2973,1538,1435
Bickleton,61,32,29,47.5,47,24,23
Big Lake,1934,890,1044,49.0,1561,759,802
Bingen,914,448,466,33.0,480,242,238
Birch Bay,8404,4342,4062,46.5,6160,3087,3073
Black Diamond,4291,2131,2160,42.5,3138,1581,1557
Blaine,4905,2532,2373,40.4,3255,1684,1571
Blyn,30,26,4,68.3,29,26,3
Bonney Lake,18516,9235,9281,33.3,12709,6459,6250
Bothell,41207,20054,21153,38.5,28772,14021,14751
Bothell East,9307,4561,4746,34.1,5293,2590,2703
Bothell West,19088,9177,9911,36.3,12650,6216,6434
Boulevard Park,3815,1971,1844,33.6,2230,1184,1046
Boyds,91,61,30,29.2,60,30,30
Brady,604,324,280,51.1,500,278,222
Bremerton,39017,20949,18068,32.1,30985,16949,14036
Brewster,2624,1287,1337,30.7,1035,503,532
Bridgeport,2285,1235,1050,29.0,767,394,373
Brier,6443,3232,3211,45.1,4927,2382,2545
Brinnon,705,376,329,59.6,634,331,303
Browns Point,1260,635,625,45.2,999,489,510
Brush Prairie,2708,1336,1372,46.3,2034,995,1039
Bryant,1815,985,830,43.0,1475,795,680
Bryn Mawr-Skyway,16473,7610,8863,38.0,10945,5112,5833
Buckley,4475,2247,2228,37.3,3277,1635,1642
Bucoda,622,277,345,40.8,483,217,266
Buena,1691,813,878,14.2,326,122,204
Bunk Foss,3522,1748,1774,43.2,2499,1169,1330
Burbank,3114,1550,1564,42.8,2152,1064,1088
Burien,49785,25503,24282,37.3,31786,16105,15681
Burley,1735,956,779,40.2,1300,695,605
Burlington,8509,3852,4657,35.5,5710,2643,3067
Camano,15500,7682,7818,51.3,12528,6199,6329
Camas,20890,10134,10756,38.7,14512,7094,7418
Canterwood,3408,1692,1716,45.7,2634,1389,1245
Canyon Creek,3045,1553,1492,36.4,2165,1054,1111
Carbonado,547,314,233,32.8,418,232,186
Carlsborg,675,297,378,69.4,675,297,378
Carnation,1733,827,906,38.3,1157,543,614
Carson,2361,1156,1205,38.4,1658,797,861
Cascade Valley,2280,1292,988,38.2,1635,911,724
Cashmere,3146,1628,1518,38.1,2179,1024,1155
Castle Rock,2334,1143,1191,37.8,1767,898,869
Cathcart,2553,1239,1314,47.6,1993,999,994
Cathlamet,612,288,324,41.6,453,218,235
Cavalero,4950,2582,2368,34.0,3428,1753,1675
Centerville,167,100,67,44.3,125,71,54
Central Park,2652,1393,1259,48.7,2162,1110,1052
Centralia,16683,8202,8481,36.1,12029,5702,6327
Chain Lake,4660,2363,2297,36.3,3225,1599,1626
Chehalis,7314,3743,3571,33.9,5228,2556,2672
Chelan,3974,1941,2033,44.1,2925,1434,1491
Chelan Falls,186,99,87,53.9,186,99,87
Cheney,11171,5776,5395,23.1,8977,4501,4476
Cherry Grove,647,388,259,33.6,465,298,167
Chewelah,2592,1216,1376,47.0,1900,937,963
Chico,2157,1120,1037,49.5,1675,915,760
Chinook,341,186,155,54.3,279,147,132
Clallam Bay,378,202,176,40.9,290,129,161
Clarkston,7330,3587,3743,35.4,5602,2710,2892
Clarkston Heights-Vineland,6590,3073,3517,47.1,5170,2454,2716
Clayton,346,172,174,43.9,251,129,122
Cle Elum,2544,1409,1135,38.1,1922,1078,844
Clear Lake,1061,546,515,38.3,844,439,405
Clear Lake,1114,542,572,42.5,893,397,496
Clearview,3682,2084,1598,41.6,2719,1440,1279
Cliffdell,138,71,67,59.5,111,44,67
Clinton,766,372,394,61.7,628,283,345
Clover Creek,6792,3238,3554,39.3,4947,2355,2592
Clyde Hill,3150,1551,1599,45.5,2020,967,1053
Cohassett Beach,641,316,325,29.9,452,244,208
Colfax,2842,1554,1288,39.9,2140,1175,965
College Place,8957,4254,4703,32.8,6654,3175,3479
Colton,435,228,207,48.9,345,177,168
Colville,4692,2291,2401,43.2,3502,1612,1890
Conconully,172,87,85,61.8,159,77,82
Concrete,739,368,371,40.2,548,281,267
Connell,5359,3516,1843,31.1,3272,2416,856
Copalis Beach,370,210,160,54.6,370,210,160
Cosmopolis,1547,741,806,45.8,1222,657,565
Cottage Lake,23703,11728,11975,43.4,16588,8302,8286
Coulee City,634,345,289,47.8,503,275,228
Coulee Dam,1290,665,625,40.6,966,493,473
Country Homes,5573,2337,3236,22.7,4574,1962,2612
Coupeville,2141,1038,1103,52.7,1586,675,911
Covington,18689,9346,9343,35.4,12734,6460,6274
Cowiche,1007,615,392,22.0,116,76,40
Creston,273,131,142,49.3,220,105,115
Crocker,1385,768,617,40.9,1061,547,514
Curlew,117,58,59,46.6,90,36,54
Curlew Lake,560,277,283,47.9,444,238,206
Cusick,106,45,61,59.0,97,36,61
Custer,423,175,248,51.6,346,107,239
Dallesport,1365,600,765,52.1,1052,507,545
Danville,32,11,21,48.0,30,11,19
Darrington,1497,837,660,38.3,1091,620,471
Dash Point,830,385,445,54.3,703,336,367
Davenport,1610,806,804,39.8,1233,634,599
Dayton,2852,1463,1389,42.9,2133,1072,1061
Deep River,182,86,96,60.7,164,80,84
Deer Park,3784,1601,2183,34.4,2753,1125,1628
Deming,420,187,233,37.1,302,132,170
Des Moines,30715,15377,15338,38.2,20285,9731,10554
Desert Aire,2131,945,1186,18.9,673,349,324
Disautel,27,13,14,54.6,27,13,14
Dixie,268,128,140,46.3,209,101,108
Dollars Corner,1101,508,593,52.9,925,463,462
DuPont,9054,4603,4451,31.6,5824,2900,2924
Duluth,1550,828,722,46.3,1146,596,550
Duvall,7373,3382,3991,34.5,4763,2079,2684
East Cathlamet,490,226,264,54.7,473,226,247
East Port Orchard,5109,2618,2491,32.2,3772,1958,1814
East Renton Highlands,11092,5793,5299,43.2,8030,4090,3940
East Wenatchee,13473,6656,6817,35.2,8891,4269,4622
Eastmont,21274,10643,10631,38.5,15121,7667,7454
Easton,374,156,218,52.1,293,141,152
Eatonville,2830,1371,1459,37.3,1964,1026,938
Edgewood,9600,4799,4801,45.2,7543,3778,3765
Edison,162,117,45,38.0,102,57,45
Edmonds,40689,19887,20802,47.7,31599,15235,16364
Electric City,1094,509,585,49.3,848,423,425
Elk Plain,14252,7051,7201,34.6,10489,5142,5347
Ellensburg,18637,8891,9746,23.9,15045,7124,7921
Elma,3035,1743,1292,31.5,2020,1034,986
Elmer City,307,141,166,45.1,237,108,129
Endicott,239,132,107,48.4,190,100,90
Enetai,1919,969,950,51.6,1571,794,777
Entiat,1190,615,575,45.8,911,423,488
