id,name,email,phone,url,website,mission_statement,photos,distance,address.address1,address.address2,address.city,address.state,address.postcode,address.country,hours.monday,hours.tuesday,hours.wednesday,hours.thursday,hours.friday,hours.saturday,hours.sunday,adoption.policy,adoption.url,social_media.facebook,social_media.twitter,social_media.youtube,social_media.instagram,social_media.pinterest,organization_id
WA193,Barks R Us Rescue,candcmears@bentonrea.com,(509) 985-8628,https://www.petfinder.com/member/us/wa/yakima/barks-r-us-rescue-wa193/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,[],,,,Yakima,WA,98901,US,,,,,,,,,,,,,,,wa193
WA687,Southern Heart Animal Rescue,southernheartanimalrescue@gmail.com,(509) 426-4373,https://www.petfinder.com/member/us/wa/yakima/southern-heart-animal-rescue-wa687/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,"Southern Heart Animal Rescue is dedicated to rescuing abandoned, lost, and abused animals. We have a strong focus on trap,...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/49798/1/?bust=1576800638&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/49798/1/?bust=1576800638&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/49798/1/?bust=1576800638&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/49798/1/?bust=1576800638'}]",,,,Yakima,WA,98908,US,,,,,,,,,,https://www.facebook.com/southernheartanimalrescue,,,https://instagram.com/southernheartanimalrescue,,wa687
WA447,Wonder Pets Rescue,wonderpetsrescue@hotmail.com,(509) 480-9098,https://www.petfinder.com/member/us/wa/yakima/wonder-pets-rescue-wa447/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39476/1/?bust=1512093310&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39476/1/?bust=1512093310&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39476/1/?bust=1512093310&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39476/1/?bust=1512093310'}]",,,,Yakima,WA,98901,US,,,,,,,,"Please submit an adoption application via e-mail to be considered for adoption.  E-mail contact is preferred, you may also text...",https://docs.google.com/document/d/1qc6wzEL_NqzGblpMg1aTGdbP0ZkZyU1jIlN-Xsu_MuA/edit,http://www.facebook.com/wonderpetsrescue,,,,,wa447
WA461,Rebecca's Rainbow,michelehayward@rebeccasrainbow.org,206.818.2778  ,https://www.petfinder.com/member/us/wa/kirkland/rebeccas-rainbow-wa461/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,[],,6513 132nd Ave NE #387,,Kirkland,WA,98033,US,,,,,,,,,,,,,,,wa461
WA39,Seattle Beagle Rescue,info@beaglerescue.org,,https://www.petfinder.com/member/us/wa/redmond/seattle-beagle-rescue-wa39/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,http://beaglerescue.org,,[],,,,Redmond,WA,98053,US,,,,,,,,,,,,,,,wa39
WA401,Another Chance Cat Adoption,anotherchancecats2007@gmail.com,(253) 856-1771,https://www.petfinder.com/member/us/wa/des-moines/another-chance-cat-adoption-wa401/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,http://www.anotherchancecatadoption.org,,[],,PO Box 13244,,Des Moines,WA,98198,US,,,,,,,,,,,,,,,wa401
WA446,Concern for Animals,developmentdirectorcfa@gmail.com,(360) 489-1478,https://www.petfinder.com/member/us/wa/olympia/concern-for-animals-wa446/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,http://www.concernforanimals.org/," 



	Concern for Animals (CFA) is a nonprofit 501(c)3 organization founded in 1980 to serve Thurston, Mason and Lewis Counties with...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/3/?bust=1512001368&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/3/?bust=1512001368&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/3/?bust=1512001368&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/3/?bust=1512001368'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/1/?bust=1497460230&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/1/?bust=1497460230&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/1/?bust=1497460230&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/1/?bust=1497460230'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/2/?bust=1497460230&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/2/?bust=1497460230&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/2/?bust=1497460230&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39475/2/?bust=1497460230'}]",,1414 State Ave NE,,Olympia,WA,98506,US,,,,,,,,We are open Monday through Friday from 9a.m. to 5p.m. We do require appointments so please call our office before...,,https://www.facebook.com/Concernforanimals,https://twitter.com/CFA_OLY,https://www.youtube.com/channel/UC7y3gQyQRKd1ndd3e6g6hJA?,https://www.instagram.com/cfa_oly/,,wa446
WA674,BRAVE Rescue,Braverescue101@gmail.com,(206) 261-5339,https://www.petfinder.com/member/us/wa/onalaska/brave-rescue-wa674/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48870/1/?bust=1551413764&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48870/1/?bust=1551413764&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48870/1/?bust=1551413764&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48870/1/?bust=1551413764'}]",,,,Onalaska,WA,98570,US,,,,,,,,,,https://www.facebook.com/Bullyrescue/,,,,,wa674
WA08,PAWS of Bremerton,paws@pawsofbremerton.org,(360) 373-7043,https://www.petfinder.com/member/us/wa/bremerton/paws-of-bremerton-wa08/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,We work with some of the local veterinarians to provide low cost spay/neuter/vaccination services to the low income residents of...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/1/?bust=1502492227&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/1/?bust=1502492227&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/1/?bust=1502492227&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/1/?bust=1502492227'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/2/?bust=1512001135&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/2/?bust=1512001135&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/2/?bust=1512001135&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39229/2/?bust=1512001135'}]",,3306 Perry Ave.,P.O. Box 2235,Bremerton,WA,98310,US,,noon to 4pm,noon to 4pm,noon to 4pm,noon to 4pm,,,We have lots of wonderful cats available to stable loving homes. Pop in and visit them today! We do have...,,,,,,,wa08
WA694,Happy Buddha Animal Rescue,happybuddharescue@gmail.com,,https://www.petfinder.com/member/us/wa/gig-harbor/happy-buddha-animal-rescue-wa694/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,https://happybuddharescue.org,"Happy Buddha Animal Rescue is a 501(c)3 non-profit organization that provides veterinary care, safe harbor, socialization, and loving homes for...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/3/?bust=1596754214&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/3/?bust=1596754214&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/3/?bust=1596754214&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/3/?bust=1596754214'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/1/?bust=1587855566&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/1/?bust=1587855566&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/1/?bust=1587855566&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/1/?bust=1587855566'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/2/?bust=1596754100&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/2/?bust=1596754100&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/2/?bust=1596754100&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50125/2/?bust=1596754100'}]",,,,Gig Harbor,WA,98335,US,,,,,,,,,http://www.happybuddharescue.org,https://www.facebook.com/happybuddharescue/,,,https://www.instagram.com/happybuddharescue/,,wa694
